year,primary_type,arrest,percentage
2016,GAMBLING,TRUE,100
2016,PROSTITUTION,TRUE,100
2016,PUBLIC INDECENCY,TRUE,100
2016,NARCOTICS,TRUE,99.95
2016,LIQUOR LAW VIOLATION,TRUE,99.56
2016,INTERFERENCE WITH PUBLIC OFFICER,TRUE,94.86
2016,CONCEALED CARRY LICENSE VIOLATION,TRUE,94.29
2016,OTHER NARCOTIC VIOLATION,TRUE,75
2016,OBSCENITY,TRUE,74
2016,WEAPONS VIOLATION,TRUE,72.78
2016,PUBLIC PEACE VIOLATION,TRUE,69.75
2016,CRIMINAL TRESPASS,TRUE,59.16
2016,NON - CRIMINAL,TRUE,40
2016,HOMICIDE,TRUE,33.63
2016,BATTERY,TRUE,20.56
2016,OTHER OFFENSE,TRUE,19.81
2016,SEX OFFENSE,TRUE,18.76
2016,ASSAULT,TRUE,18.63
2016,INTIMIDATION,TRUE,18.52
2016,OFFENSE INVOLVING CHILDREN,TRUE,13.5
2016,THEFT,TRUE,10.67
2016,ARSON,TRUE,10.29
2016,CRIM SEXUAL ASSAULT,TRUE,9.89
2016,MOTOR VEHICLE THEFT,TRUE,9.71
2016,STALKING,TRUE,9.25
2016,HUMAN TRAFFICKING,TRUE,9.09
2016,ROBBERY,TRUE,8.22
2016,CRIMINAL SEXUAL ASSAULT,TRUE,7.69
2016,KIDNAPPING,TRUE,6.93
2016,CRIMINAL DAMAGE,TRUE,5.4
2016,BURGLARY,TRUE,4.88
2016,DECEPTIVE PRACTICE,TRUE,4.73
2016,NON-CRIMINAL,TRUE,4.17
2017,GAMBLING,TRUE,100
2017,LIQUOR LAW VIOLATION,TRUE,100
2017,PROSTITUTION,TRUE,100
2017,PUBLIC INDECENCY,TRUE,100
2017,NARCOTICS,TRUE,99.95
2017,CONCEALED CARRY LICENSE VIOLATION,TRUE,95.59
2017,INTERFERENCE WITH PUBLIC OFFICER,TRUE,95.14
2017,WEAPONS VIOLATION,TRUE,78.56
2017,OBSCENITY,TRUE,76.62
2017,PUBLIC PEACE VIOLATION,TRUE,68.19
2017,OTHER NARCOTIC VIOLATION,TRUE,63.64
2017,CRIMINAL TRESPASS,TRUE,59.04
2017,NON-CRIMINAL (SUBJECT SPECIFIED),TRUE,50
2017,HOMICIDE,TRUE,27.29
2017,OTHER OFFENSE,TRUE,22.09
2017,BATTERY,TRUE,20.52
2017,SEX OFFENSE,TRUE,20.17
2017,ASSAULT,TRUE,18.03
2017,OFFENSE INVOLVING CHILDREN,TRUE,15.41
2017,CRIMINAL SEXUAL ASSAULT,TRUE,15.38
2017,HUMAN TRAFFICKING,TRUE,14.29
2017,STALKING,TRUE,13.04
2017,THEFT,TRUE,10.16
2017,INTIMIDATION,TRUE,9.33
2017,ARSON,TRUE,8.84
2017,KIDNAPPING,TRUE,8.51
2017,MOTOR VEHICLE THEFT,TRUE,8.05
2017,ROBBERY,TRUE,7.72
2017,CRIM SEXUAL ASSAULT,TRUE,7.56
2017,CRIMINAL DAMAGE,TRUE,6.03
2017,BURGLARY,TRUE,5.03
2017,DECEPTIVE PRACTICE,TRUE,4.84
2017,NON-CRIMINAL,TRUE,2.86
2018,GAMBLING,TRUE,100
2018,LIQUOR LAW VIOLATION,TRUE,100
2018,PROSTITUTION,TRUE,100
2018,PUBLIC INDECENCY,TRUE,100
2018,NARCOTICS,TRUE,99.95
2018,CONCEALED CARRY LICENSE VIOLATION,TRUE,97.28
2018,INTERFERENCE WITH PUBLIC OFFICER,TRUE,95.36
2018,OBSCENITY,TRUE,80.72
2018,WEAPONS VIOLATION,TRUE,69.77
2018,PUBLIC PEACE VIOLATION,TRUE,60.56
2018,CRIMINAL TRESPASS,TRUE,55.22
2018,HOMICIDE,TRUE,36.13
2018,NON-CRIMINAL (SUBJECT SPECIFIED),TRUE,33.33
2018,OTHER OFFENSE,TRUE,21
2018,BATTERY,TRUE,20.67
2018,SEX OFFENSE,TRUE,19.98
2018,ASSAULT,TRUE,16.52
2018,OFFENSE INVOLVING CHILDREN,TRUE,13.81
2018,ARSON,TRUE,10.66
2018,STALKING,TRUE,10.55
2018,THEFT,TRUE,9.86
2018,CRIM SEXUAL ASSAULT,TRUE,8.78
2018,CRIMINAL SEXUAL ASSAULT,TRUE,8.57
2018,HUMAN TRAFFICKING,TRUE,8.33
2018,ROBBERY,TRUE,8.24
2018,INTIMIDATION,TRUE,7.83
2018,CRIMINAL DAMAGE,TRUE,6.08
2018,NON-CRIMINAL,TRUE,5.56
2018,MOTOR VEHICLE THEFT,TRUE,5.46
2018,DECEPTIVE PRACTICE,TRUE,5.11
2018,BURGLARY,TRUE,4.91
2018,KIDNAPPING,TRUE,4.17
2019,GAMBLING,TRUE,100
2019,LIQUOR LAW VIOLATION,TRUE,100
2019,PROSTITUTION,TRUE,100
2019,PUBLIC INDECENCY,TRUE,100
2019,NARCOTICS,TRUE,99.96
2019,CONCEALED CARRY LICENSE VIOLATION,TRUE,97.7
2019,INTERFERENCE WITH PUBLIC OFFICER,TRUE,96.12
2019,OBSCENITY,TRUE,81.03
2019,PUBLIC PEACE VIOLATION,TRUE,70.42
2019,WEAPONS VIOLATION,TRUE,66.76
2019,OTHER NARCOTIC VIOLATION,TRUE,66.67
2019,CRIMINAL TRESPASS,TRUE,55.72
2019,NON-CRIMINAL,TRUE,33.33
2019,HOMICIDE,TRUE,24.95
2019,OTHER OFFENSE,TRUE,22.14
2019,BATTERY,TRUE,20.96
2019,ASSAULT,TRUE,18.14
2019,STALKING,TRUE,15.77
2019,OFFENSE INVOLVING CHILDREN,TRUE,12.65
2019,SEX OFFENSE,TRUE,11.86
2019,ARSON,TRUE,10.67
2019,THEFT,TRUE,9.86
2019,CRIMINAL SEXUAL ASSAULT,TRUE,9.68
2019,ROBBERY,TRUE,8.39
2019,CRIM SEXUAL ASSAULT,TRUE,6.58
2019,KIDNAPPING,TRUE,6.4
2019,CRIMINAL DAMAGE,TRUE,6.28
2019,MOTOR VEHICLE THEFT,TRUE,5.76
2019,BURGLARY,TRUE,5.31
2019,DECEPTIVE PRACTICE,TRUE,4.99
2019,INTIMIDATION,TRUE,3.68
